embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,CropStatus,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
28,PlymouthDuxbury,19337.51105144037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.71,420.95,-7.40%,113728,18953,23256,19136,7946,69865,42925,252884,216935,166082.8275,8.588635169,295809,259860,NA,8.588635169138232,13.438130652323226,active,322.9042747638257,6639.7699999999995,94,4077.2700000000004,125823.86873374402,77264.406036961,0.6302196801976955,0.7188328904040316,0.8148524628040639,0.06501199056374583,0.13327444410149722,0.22812244248517016,33414.04251499617,5905.295746635429,21054.971541996612,4070.6647647689006,35018.18451607224,57026.562136988956
28,PlymouthDuxbury,19337.51105144037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.71,420.95,-7.40%,113728,18953,23256,19136,7946,69865,42925,252884,216935,166082.8275,8.588635169,295809,259860,NA,8.588635169138232,13.438130652323226,inactive,31.39011968286974,2126.52,11,862.1899999999999,40297.6267761807,16338.530006844627,0.5990785251964222,0.6952285062183033,0.7970877614888278,0.06373052129691298,0.12913072109222412,0.21117269044572656,11375.719709998795,2250.8549562972294,4578.166880749448,891.195445502089,7405.035356479293,18263.90445987583
29,PocassetHarbor,1697.049292874472,9636,2493,1893,787,14808,1967,0,0,0,0,0,0,0,129,35721.20756529312,43812948.97353343,14808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8884.8,NA,NA,NA,8.725733578968777,5.235440147381266,NA,active,28.64605400114666,777.79,8,761.11,14739.14711841205,14423.06054757016,0.5970343500375748,0.6510336771607399,0.7150669544935226,0.02145091351121664,0.042737595504149795,0.08444882417097688,3498.1643479178956,212.18560507301527,3423.353772300331,208.09361778042177,3984.745850573355,4072.072992231675
30,PocassetRiver,880.1384433128545,4201,423,859,328,5812,811,0,0,0,0,0,0,0,130,23265.02714538455,15804123.84944082,5812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6.603506578037363,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,PopponessetBay,5300.363357264758,49047,6738,9433,11217,76652,10069,7403,13851,7,7403,13851,317.5,242.2,917,125930.58519774769,128788471.02538016,76652,69.11,37.95,-45.10%,32300,227,3765,2668,7584,1971,9394,48513,31885,25242.4275,4.76239567,57907,41279,14.461650047998996,4.762395669610528,7.787956639505174,abandoned,5.067185625365255,23.75,6,14.92,450.06331279945243,282.7345106091718,0.6739163100719452,0.7792016367117564,0.8808752000331879,0.10225181902448337,0.18079941968123117,0.3010690212249756,127.14759164758743,27.401448647643107,80.2728110402787,18.38811189062208,71.05494339058907,113.10689715325003
31,PopponessetBay,5300.363357264758,49047,6738,9433,11217,76652,10069,7403,13851,7,7403,13851,317.5,242.2,917,125930.58519774769,128788471.02538016,76652,69.11,37.95,-45.10%,32300,227,3765,2668,7584,1971,9394,48513,31885,25242.4275,4.76239567,57907,41279,14.461650047998996,4.762395669610528,7.787956639505174,active,13.524191154789186,436.12,8,269.08,8264.488925393565,5099.075208761123,0.6589369624853134,0.7406368777155876,0.8388220891356468,0.11401097290217876,0.21503068320453167,0.38421301916241646,2256.374101332082,748.7489461274606,1381.8169905819661,467.62075262451094,1281.4654267788007,2076.975999430543
32,ProvincetownHarbor,1652.868481080437,12755,448,1904,1033,16383,2531,0,0,0,0,0,0,0,132,35081.39901080126,56754575.90571655,16383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9.911859405347762,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,QuissettHarbor,125.6546401640786,1072,274,171,30,1546,171,723,967,2,723,967,46,38,266,10924.61861918092,3022448.1933045723,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,12.30356473888468,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,QuivettCreek,568.1531983754136,3386,407,653,220,4668,738,0,0,0,0,0,0,0,134,13670.03418869361,10244131.05751741,4668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8.216093851707171,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,RandHarbor,507.3411905326404,2165,383,711,251,3509,470,1044,1610,3,1044,1610,73,54.8,405,47250.618534183144,9414810.834324293,3509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6.916450044822931,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
