 ,HUC8,Fig2a_WetlandDensity,Fig2b_PercentNRemoval,Fig2c_NSurplus,Fig2d_EstNRemoval,,,,
340,3170005,0.164959233,0.439544847,7.757849,1.679914834,,,,
341,3170006,0.369156297,0.503873095,14.778735,3.662132168,,,,
342,3170007,0.188113442,0.462141674,11.107909,2.532758587,,,,
343,3170008,0.389393461,0.493030936,16.128722,3.875879843,,,,
344,3170009,0.155481087,0.423418846,5.74112,1.203356722,,,,
345,3180001,0.124434725,0.398674559,11.156756,2.228128281,,,,
346,3180002,0.09848494,0.363512015,12.353251,2.197514669,,,,
347,3180003,0.068165367,0.282737931,12.884703,1.791939233,,,,
348,3180004,0.212986106,0.470787197,7.055473,1.59342728,,,,
349,3180005,0.070485351,0.296642791,28.294935,4.247295367,,,,
350,4010101,0.385669397,0.472189742,1.985346,0.47098345,,,,
351,4010102,0.39098334,0.470075593,1.829147,0.425566746,,,,
352,4010201,0.832420306,0.482699147,2.591136,0.619552763,,,,
353,4010202,0.612800686,0.477703899,2.183243,0.515136443,,,,
354,4010301,0.108640208,0.364422931,4.202319,0.770562951,,,,
355,4010302,0.041318359,0.179430869,3.568227,0.318599021,,,,
356,4020101,0.169160588,0.435111252,2.861639,0.626268567,,,,
357,4020102,0.166386134,0.434310493,2.687984,0.569742582,,,,
358,4020103,0.142127648,0.42278288,2.765164,0.562365715,,,,
359,4020104,0.185890742,0.444279075,2.863106,0.623620236,,,,
360,4020105,0.10146777,0.357839608,2.762721,0.496041283,,,,
361,4020201,0.252156605,0.489261625,3.410699,0.808353683,,,,
362,4020202,0.43229457,0.507007842,3.285203,0.822121646,,,,
363,4020203,0.144119903,0.424860232,2.948762,0.615174983,,,,
364,4030101,9.03E-06,3.73E-05,62.631117,0.001156376,,,,
365,4030102,0.001007021,0.004323838,46.018642,0.096483887,,,,
366,4030105,0.039195938,0.168072216,16.669735,1.358059756,,,,
367,4030106,0.201455207,0.463662498,2.667043,0.611274289,,,,
368,4030107,0.247296891,0.48584541,2.745143,0.650072782,,,,
369,4030108,0.161903715,0.441886596,4.513823,0.975932381,,,,
370,4030109,0.431517198,0.518900566,5.901321,1.47714444,,,,
371,4030110,0.246394205,0.47873206,3.19547,0.74312843,,,,
372,4030111,0.451757073,0.516495653,3.244353,0.817648426,,,,
373,4030112,0.414928625,0.494125794,3.222765,0.817927767,,,,
374,4040001,0.29803108,0.461691976,25.912567,6.074759169,,,,
375,4040002,8.90E-05,0.000364316,23.689207,0.004243513,,,,
376,4050001,0.18743114,0.440172689,34.678143,7.410267713,,,,
377,4050002,0.125787553,0.384940888,47.116096,8.900886783,,,,
378,4050003,0.128502404,0.38772791,32.040679,6.069895899,,,,
379,4050004,0.167692069,0.429756255,20.767102,4.404463938,,,,
380,4050005,0.099964113,0.349996416,45.952882,7.892335538,,,,
381,4050006,0.122081235,0.396167376,27.834737,5.328335077,,,,
382,4050007,0.117449808,0.365813572,28.222867,5.240160244,,,,
383,4060101,0.130170652,0.405082049,10.600589,2.075499449,,,,
384,4060102,0.172821601,0.433864118,16.013266,3.463793123,,,,
385,4060103,0.111535099,0.367042471,4.920924,0.892830133,,,,
386,4060104,0.099946408,0.364080067,4.979751,0.908611704,,,,
387,4060105,0.117345289,0.384322091,5.258768,1.010767726,,,,
388,4060106,0.454462022,0.515763998,3.741598,0.922985121,,,,
