Country	Study site	WBZ-type	Nutrient	"Load (kg N, P/ha/yr)"	"Loss (kg N, P/ha/yr)"	"Retention (kg N, P/ha/yr)"	Efficiency (%)	Organic/Mineral Soil	Vegetation type	Reference	Main source/flow path in	Main source/flow path in (simple)	Main flow paths in buffer	Inflow=>Outflow	Width [m]	Area [m²]	Qin [m³/yr]	Catchment area [ha]	HLR [mm]
USA	"Maryland, US"	Riparian Wetland/Bank	nitrate	12.0	5.8	6.2	52	Mineral	Aerenchymous	"Hoffmann et al., 2009; Jordan et al., 2003"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	180	13000	68002	N/A	5231
USA	"Maryland, US"	Floodplain	nitrate				96	Mineral	"Arboraceous, mixed"	"Hill A., 1996; Jordan et al., 1993"	Groundwater	GW	Shallow lateral GW	GW=>GW	55	N/A	N/A	N/A	N/A
USA	"Middle Coastal Plain, North Carolina, US"	Floodplain	nitrate	21.5	1.9	19.6	91	Mineral	"Arboraceous, mixed"	"Hill A., 1996; Jacobs & Gilliam, 1985, Mander et al 1997"	"2/3 GW, 1/3 ditch"	GW	Shallow lateral GW and some exfiltration	GW=>GW	47	N/A	N/A	N/A	29
USA	"Ohio Wetland 1, US"	Floodplain	nitrate	1081.6	708.3	373.2	35	Mineral	Aerenchymous	"Mitsch et al., 2005"	River inundation	SWR	Direct surface runof	SWR=>SR	30	10000	25000	N/A	2500
USA	"Ohio Wetland 2 , US"	Floodplain	nitrate	1078.2	670.0	408.2	38	Mineral	Aerenchymous	"Mitsch et al., 2005"	River inundation	SWR	Direct surface runof	SWR=>SR	30	10000	25000	N/A	2500
USA	"Ohio, US"	Floodplain	nitrate	322.0	168.0	154.0	48.0	Mineral	Aerenchymous	"Mitsch et al., 2014; Fink and Mitsch, 2007"	River inundation	SWR	Direct surface runof	SWR=>SR	N/A	30000	600000	N/A	20000
USA	"Olentangy River, Ohio US"	Floodplain	nitrate	1006.5	850.5	156.0	15.5	Mineral	Aerenchymous	"Mitsch W., et al., 2014"	River inundation	SWR	Direct surface runoff	SWR=>SR	30	20000	795060	N/A	39753
USA	"Pennsylvania, USA"	Riparian Wetland/Bank	nitrate				40	Mineral	Herbaceous	"Hill A., 1996; Schnabel, 1986"	Groundwater	GW	"Shallow lateral GW, GW exfiltration => surface flow (return flow)"	GW=>SR	18	N/A	N/A		N/A
USA	"Sierra Nevada, CA, US"	Riparian Wetland/Bank	nitrate				60	Mineral	Aerenchymous	"Hoffmann et al., 2009; Knox et al,. 2008"	Drain discharge from upland	SWU	Direct surface runoff (natural)	SWU=>SR	135	2000	N/A	6.1	N/A
USA	"Sierra Nevada, CA, US"	Riparian Wetland/Bank	nitrate				-31	Mineral	Aerenchymous	"Hoffmann et al., 2009; Knox et al,. 2008"	Drain discharge from upland	SWU	Direct surface runoff (channelized)	SWU=>SR	115	2000	N/A	9.3	N/A
USA	"Wetland A, Ohio, US"	Riparian Wetland/Bank	nitrate	1038.9	616.7	422.2	41	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	6000	47233	15	7872
USA	"Wetland B, Ohio, US"	Riparian Wetland/Bank	nitrate	546.7	301.1	245.6	45	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	3000	15500	5	5167
USA	"Wetland D, Ohio, US"	Riparian Wetland/Bank	nitrate	867.9	570.0	297.9	34	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	8000	49033	25	6129
Denmark	"Brede, DK"	Rewetted Fen	SRP			-2.6		Organic	Aerenchymous	"Hoffmann C., et al, 2011"	"Deep groundwater, shallow groundwater"	GW	"Deep groundwater, shallow groundwater"	GW=>GW	80	630000	7716000	700	12248
