Long,Lat,dataset,NO3,TN
-72.93953408,42.41095836,WPP,0.22,0.4275
-72.94869942,42.25418274,WPP,0.08600000000000001,0.1573125
-72.75434911,42.13083697,WPP,0.158,0.33444444444444443
-71.63224204,42.27406018,WPP,0.395,0.63
-71.63858701,42.28350805,WPP,4.15,4.7
-71.63553499,42.32036993,WPP,2.55,2.9250000000000003
-71.63006336,42.32949677,WPP,2.3,2.625
-71.61641,42.34151216,WPP,1.8,2.05
-71.61460331,42.3465007,WPP,2.6,2.925
-71.58613633,42.38030934,WPP,2.2,2.525
-71.54598569,42.39979789,WPP,2.45,3.25
-71.52654108,42.40462155,WPP,3.55,3.2
-71.50844219,42.41163442,WPP,2.5,2.5
-71.474721829999993,42.4231785,WPP,2.5,2.35
-71.39498427,42.3386459,WPP,0.225,0.765
-71.36805603,42.44111379,WPP,0.12,0.84
-71.34989446,42.47116456,WPP,0.99,1.35
-71.31411783,42.50902782,WPP,0.88,1.425
-71.29952957,42.53488992,WPP,0.86,1.4
-71.28252509,42.55747509,WPP,0.64,1.2999999999999998
-71.30284563,42.64172611,WPP,0.7384615384615385,1.2973333333333332
-71.33253012,42.57826214,WPP,0.02,0.7475
-71.30119731,42.63380122,WPP,0.52,0.945
-71.01406198,42.07936711,WPP,0.6,1.1422222222222222
-71.00930657,42.07964645,WPP,0.89,1.78
-71.00977821,42.05376462,WPP,0.754,1.458888888888889
-70.98465422,42.03776122,WPP,1.308,2.02
-70.97074029,42.04550631,WPP,0.7,1.22
-70.96656207,42.03148922,WPP,0.49750000000000005,1.185
-70.9505329,42.02160209,WPP,0.3375,0.8885714285714286
-70.93768479,41.99937253,WPP,1.224,3.2555555555555555
-70.98734776,41.93629311,WPP,0.552,1.4177777777777778
-71.02994049,41.88611169,WPP,0.496,1.3377777777777775
-71.13411655,41.88590512,WPP,0.365,0.75
-71.30781311,41.95326227,WPP,0.68,1.5
-72.63699267,42.45655696,WPP,0.108,0.308
-71.3474734,41.98856171,WPP,0.11,0.84
-71.33453815,41.97762993,WPP,0.43333333333333335,0.7766666666666667
-71.3252761,42.30510355,WPP,0.486,0.8260000000000001
-71.42713966,42.15140376,WPP,0.17,0.656
-71.44602039,42.13445842,WPP,0.35,0.836
-71.5155242,42.13103033,WPP,1.038,1.36
-71.33022096,42.19598069,WPP,1.104,1.452
-71.33009248,42.25505525,WPP,0.33,0.774
-71.43283604,42.09047755,WPP,0.266,0.592
-71.40927393,42.22237155,WPP,0.46,0.995
-71.26662505,42.34154459,WPP,1.9,2.25
-71.50839357,42.17383927,WPP,0.17,1.215
-71.30844976,41.95661339,WPP,3.425,4.35
-71.56822441,42.02194765,WPP,1.5,1.95
-71.31726139,42.17245221,WPP,0.5,1.1
-72.15953425,42.34007232,WPP,0.17,0.502
-72.22875627,42.21273236,WPP,0.08,0.414
-71.75182267,42.19289465,WPP,1.266,3.9
-71.63971462,42.13913312,WPP,1.584,3.3
-71.61629976,42.05495698,WPP,1.458,2.6
-71.54548172,42.01686344,WPP,1.52,2.74
-71.76604587,42.18277682,WPP,0.194,0.536
-71.65065318,42.07884462,WPP,0.194,0.59
-71.71206258,42.18498134,WPP,0.506,0.964
-71.55765871,41.99661131,WPP,0.178,0.508
-71.51035869,42.01238549,WPP,0.506,0.926
-71.49304478,42.01550267,WPP,0.64,1.11
-72.54970791,42.62272904,WPP,0.426,0.504
-71.62256481,42.0977551,WPP,1.688,3.3000000000000003
-71.83355874,42.57574839,WPP,0.166,1.206
-71.67387723,42.45138358,WPP,1.1925,2.025
-72.54988746,42.62058327,WPP,0.5599999999999999,0.622
-72.56911519,42.0941279,WPP,0.421,0.9955555555555556
-72.58037808,42.24704007,WPP,0.236,0.614
-72.58362237,42.03629979,WPP,1.2,1.3666666666666667
-72.66514075,42.31899322,WPP,0.35000000000000003,0.48
-72.431373,42.34968275,WPP,0.088,0.378
-71.98179294,42.40886407,WPP,0.042,0.316
-72.26845965,42.16171173,WPP,0.076,0.2723076923076923
-72.45647808,42.04351371,WPP,0.54,0.716
-72.70605094,42.2636059,WPP,0.214,0.346
-72.23011415,42.36091839,WPP,0.048,0.516
-71.570541360000007,42.02271855,WPP,1.1875757575757575,1.8896969696969697
-71.28535834,41.92703603,WPP,1.478,1.88
-72.58673039,42.27962685,WPP,0.6155555555555555,0.737
-72.21647477,42.48792791,WPP,0.02,0.35
-72.25884802,42.46843526,WPP,0.02,0.26666666666666666
-72.24561712,42.46258282,WPP,0.02,0.25666666666666665
-72.17095628,42.49092717,WPP,0.12333333333333334,0.39666666666666667
-72.20732375,42.43816198,WPP,0.02666666666666666,0.3233333333333333
-71.9749944,42.27317372,WPP,0.068,0.34
-72.33717325,42.29088748,WPP,0.02,0.235
-71.62936149,42.54690674,WPP,1.1,1.4
-72.56556396,42.07983422,WPP,0.622,0.948
-72.48987633,42.44431744,WPP,0.026,0.0828
-72.72939605,42.28135393,WPP,0.55,0.676
-72.27899479,42.2354613,WPP,0.256,0.568
-72.17965076,42.22337829,WPP,0.024,0.422
-72.10659989,42.26215141,WPP,0.154,0.428
-71.95196358,42.56670939,WPP,0.068,0.958
-71.8162291,42.58657345,WPP,0.235,0.345
-71.35216051,41.91786565,WPP,0.3,0.616
-71.75691548,42.52661784,WPP,0.266,0.516
-71.85617251,42.20291112,WPP,0.082,0.418
-71.73709013,42.09310671,WPP,0.04333333333333333,0.3066666666666667
-72.19502942,42.62531983,WPP,0.04,0.256
-72.09714696,42.04216137,WPP,0.028,0.27999999999999997
-71.86537248,42.32657968,WPP,0.1,0.388
-71.66947411,42.55308278,WPP,0.066,0.542
-71.92879763,42.10454751,WPP,0.038,0.42
-71.69757011,42.20836571,WPP,0.03,0.9266666666666667
-72.02541007,42.07674201,WPP,1.16,1.6166666666666667
-71.86605175,42.55979904,WPP,0.084,0.34600000000000003
-72.18751776,42.05772637,WPP,0.036,0.326
-71.48301448,42.02755221,WPP,0.342,0.748
-72.40184008,42.61497981,WPP,0.064,0.1298
-71.90260492,42.58213165,WPP,0.075,0.415
-71.9407684,42.67731084,WPP,0.03,0.402
-71.68941303,42.51052037,WPP,0.04,0.23
-72.2573654,42.64253866,WPP,0.02,0.19
-72.20669311,42.12335485,WPP,0.05,0.46
-72.23102678,42.55623608,WPP,0.102,0.454
-71.82995728,42.57871152,WPP,0.102,0.386
-71.9488559,42.16426655,WPP,0.092,0.56
-72.32696346,42.58178925,WPP,0.066,0.152
-71.8258417,42.23909491,WPP,0.218,0.616
-71.57910918,42.53192718,WPP,0.026,0.424
-72.10313327,42.13693403,WPP,0.048,0.518
-71.60542161,42.02932229,WPP,0.215,0.47
-71.8557513,42.23359373,WPP,0.226,0.504
-71.86334389,42.59040888,WPP,0.114,0.718
-71.33321453,41.89640012,WPP,0.842,1.34
-72.00414064,42.6674075,WPP,0.02,0.53
-71.72378538,42.47692289,WPP,0.3433333333333333,0.55
-71.86184525,42.1427144,WPP,0.332,0.67
-72.06454171,42.06151141,WPP,0.045,0.32
-72.13290955,42.65715091,WPP,0.02,0.9533333333333334
-71.90277886,42.5334948,WPP,0.02,0.0955
-71.99849063,42.1400961,WPP,0.03,0.37
-72.38454489,42.46470593,WPP,0.03590909090909091,0.18713043478260868
-72.16158627,42.03481475,WPP,0.05335,0.3385
-71.79434419,42.01994053,WPP,0.02,0.3433333333333333
-72.97439535,42.63256876,WPP,0.10084615384615384,0.2196923076923077
-72.94935172,42.16782704,WPP,0.04818181818181819,0.325
-71.79151291,42.07471082,WPP,0.02,0.17866666666666667
-72.40559074,42.0627483,WPP,0.1442857142857143,0.32
-71.83775116,42.38381603,WPP,0.10436842105263158,0.608
-71.30148697,42.63595037,WPP,0.7678571428571429,1.2706666666666666
-72.88420012,42.54141177,WPP,0.166,0.298
-72.73352769,42.67416852,WPP,0.098,0.156
-73.30161974,42.45191218,WPP,0.04,0.28400000000000003
-72.88766468,42.40624326,WPP,0.17,0.22
-72.8853956,42.23747744,WPP,0.058,0.204
-72.61591962,42.59824776,WPP,0.1375,0.205
-73.21962782,42.25259045,WPP,0.08600000000000001,0.304
-73.01699669,42.04759931,WPP,0.174,0.566
-72.93808435,42.63919882,WPP,0.13,0.21
-73.28034588,42.24776313,WPP,0.045625,0.261875
-72.80105071,42.51152705,WPP,0.258,0.422
-73.0114712,42.30598204,WPP,0.06,0.21
-72.71945734,42.73205357,WPP,0.052,0.166
-73.31275339,42.54503215,WPP,0.47,0.5
-72.9736829,42.16952122,WPP,0.06,0.278
-73.1412082,42.47391986,WPP,0.17,0.4275
-73.12792409,42.15946034,WPP,0.098,0.338
-72.69870678,42.50830194,WPP,0.202,0.27999999999999997
-73.10371096,42.66954163,WPP,0.656,0.858
-72.9795908,42.40226973,WPP,0.03333333333333333,0.21
-72.61264226,42.6732761,WPP,0.33799999999999997,0.38
-72.80864416,42.09976917,WPP,0.356,0.568
-73.20019809,42.70289803,WPP,0.198,0.282
-73.27397995,42.27211249,WPP,0.15333333333333335,0.24
-73.23231291,42.11380288,WPP,0.02,0.22
-73.10381096,42.66112647,WPP,0.716,0.91
-73.01460875,42.55160608,WPP,0.08666666666666667,0.3
-72.878683,42.26068784,WPP,0.024,0.146
-72.81255079,42.3820888,WPP,0.034,0.348
-73.35414315,42.3572088,WPP,0.155,0.3125
-72.87827159,42.45247321,WPP,0.088,0.248
-73.11391881,42.24539082,WPP,0.07,0.408
-72.64485764,42.62826823,WPP,0.29333333333333333,0.3333333333333333
-72.72793165,42.08621595,WPP,1.19,1.525
-72.72437309,42.63908097,WPP,0.09666666666666666,0.36
-73.20166842,42.65789498,WPP,0.406,0.436
-72.55825658,42.55506751,WPP,0.114,0.234
-73.48299,42.10614,WPP,0.12777777777777777,0.1631
-73.25737865,42.38348515,WPP,0.06,0.25
-72.6693994,42.71492884,WPP,0.10058823529411764,0.19294117647058823
-73.02774999,42.32000999,WPP,0.05311111111111111,0.23444444444444448
-71.6301536,42.04638466,WPP,0.10294117647058824,0.32294117647058823
-72.95887989,42.70347188,WPP,0.1006470588235294,0.19617647058823529
-72.22718449,42.69539254,WPP,0.027,0.30238095238095236
-72.81341348,42.15510819,WPP,0.078,0.262
-72.7334767,42.12010243,WPP,0.164,0.378
-73.25940756,42.38648751,WPP,0.09655555555555556,0.2631578947368421
-73.22431951,42.62731387,WPP,0.1,0.138
-70.72215618,42.00395502,WPP,0.02,0.5
-70.73007,41.99860448,WPP,0.03,0.65
-70.72579815,41.99977266,WPP,0.03,0.765
-70.72311164,41.99609561,WPP,0.55,0.89
-70.70786751,41.98783357,WPP,0.48,0.765
-70.72218147,41.9979183,WPP,0.04,0.78
-70.72120689,41.99717794,WPP,0.26,0.88
-70.69885818,41.98654008,WPP,0.41,0.67
-72.36869256,42.44207131,WPP,0.084,0.426
-72.31183457,42.09324205,WPP,0.228,0.408
-71.09399859,41.90037801,WPP,0.19666666666666668,0.6366666666666666
-71.22476066,41.95255141,WPP,0.2725,0.5660000000000001
-70.79814166,41.72789933,WPP,0.06,0.7766666666666666
-70.92252609,42.0184717,WPP,0.27,0.842
-71.2482622,41.74470234,WPP,1.5266666666666666,2.375
-71.2165861,42.06112594,WPP,0.31,0.66
-71.03007602,42.08257418,WPP,0.78,0.995
-70.97991603,41.90743834,WPP,0.456,0.876
-71.2625509,41.84611359,WPP,0.302,0.798
-71.03545292,41.98836801,WPP,0.30333333333333334,0.7375
-70.9831251,41.75570188,WPP,0.02666666666666667,0.5825
-71.30434109,41.80069261,WPP,1.2866666666666666,2.45
-71.05266156,42.01558538,WPP,0.6325,0.902
-71.09437763,42.24343046,WPP,0.22,0.72
-70.91424154,42.06811651,WPP,0.2575,0.6900000000000001
-71.19253246,41.7773089,WPP,0.13333333333333333,1.2
-70.84082513,41.67967123,WPP,0.1825,0.812
-71.0981243,41.9093812,WPP,0.13,0.6
-71.1361368,42.49511888,WPP,0.62,0.89
-70.45336867,41.64357833,WPP,0.14,0.85
-70.10477526,41.70289295,WPP,0.215,0.415
-71.1737167,41.98949513,WPP,0.6175,1.038
-71.0764565,41.64180645,WPP,1.3,2.4
-70.85910564,42.2422342,WPP,0.6333333333333333,1.1225
-70.90942651,41.8814227,WPP,0.028,0.428
-70.85635593,41.72740826,WPP,0.2125,0.716
-71.22918554,41.8647818,WPP,0.12,0.8300000000000001
-70.75694672,42.08658274,WPP,0.49333333333333335,0.8475
-71.07757733,41.9325177,WPP,0.278,1.114
-71.21344675,42.00502696,WPP,0.49,0.7875
-70.86206928,42.19947614,WPP,0.6,1.475
-70.98602228,41.63338435,WPP,0.165,1.22
-70.95386851,41.99746222,WPP,0.92,1.7375
-71.00963849,42.0754278,WPP,1.1425,1.44
-71.17552595,41.94945845,WPP,0.18,0.5800000000000001
-71.32993703,41.83058753,WPP,0.2825,1.02
-71.751964,42.706137,WPP,0.05571428571428571,0.25
-71.753811,42.664623,WPP,0.09914285714285714,0.23
-71.133855,41.562812,WPP,0.154,0.8385714285714286
-71.08528,41.77444,WPP,0.02,0.4075
-71.70506,42.00792,WPP,0.1457058823529412,0.3563157894736842
-72.66972243,42.71500304,WPP,0.05761538461538462,0.26323076923076927
-72.98439297,42.30007646,WPP,0.16,0.29
-72.51950306,42.55286755,WPP,0.022,0.1482
-72.55536786,42.33802189,WPP,0.45,1.89
-72.05643235,42.2526325,WPP,0.12,0.34400000000000003
-72.25680238,42.47216953,WPP,0.034,0.36
-72.27160475,42.05933009,WPP,0.12,0.33399999999999996
-72.69990551,42.0373016,WPP,0.926,1.3
-72.81803592,42.26076443,WPP,0.03,0.4025
-72.51860357,42.47653586,WPP,0.128,0.192
-72.37351445,42.38732571,WPP,0.072,0.1814
-72.594205,42.27003392,WPP,0.19,0.544
-71.08494839,41.77254787,WPP,0.0384,0.34833333333333333
-70.9964121,42.616929,WPP,0.09,0.718
-71.3406697,42.5943564,WPP,0.1318,0.8119999999999999
-71.4776709,42.2247791,WPP,0.246,0.904
-71.4584048,42.1049813,WPP,3.4,4.1
-71.3444481,42.6718435,WPP,0.276,0.77
-71.4854492,42.4276412,WPP,0.19,0.67
-70.9615914,42.8659286,WPP,0.044,0.538
-71.56727,42.2532139,WPP,0.156,0.65
-71.2338344,42.3049376,WPP,2.0575,2.25
-70.9915364,42.5790278,WPP,0.094,0.62
-71.3890868,42.6253944,WPP,0.306,0.7000000000000001
-70.9427296,42.7350352,WPP,1.94,2.56
-71.1967182,42.3900984,WPP,0.33,0.82
-71.0387409,42.4958058,WPP,0.244,0.858
-71.5179405,42.347696,WPP,0.114,0.536
-70.9747374,42.6339232,WPP,0.25,0.74
-71.2407158,42.5017852,WPP,0.037,0.494
-71.1439954,42.6971169,WPP,0.318,0.982
-71.5654205,42.4768312,WPP,0.17666666666666667,0.42666666666666664
-71.5704097,42.4356962,WPP,0.096,0.404
-71.0962545,42.5718288,WPP,0.094,0.804
-71.4134214,42.5267785,WPP,0.295,2.4
-71.6885308,42.2910744,WPP,0.432,0.672
-71.5061583,42.6297304,WPP,0.34,0.752
-71.3654398,42.1217687,WPP,0.07,0.482
-71.6512886,42.2871321,WPP,0.5680000000000001,0.9
-70.9840121,42.8261109,WPP,0.45,1.0975
-71.3263353,42.6681776,WPP,0.252,0.8019999999999999
-71.4475714,42.5975906,WPP,0.096,0.508
-71.2559826,42.494062,WPP,0.14250000000000002,0.745
-71.3955834,42.3193238,WPP,0.035,0.6375
-71.3758224,42.1870159,WPP,0.109,0.838
-71.1509714,42.6521945,WPP,0.33,0.918
-71.487647,42.700651,WPP,0.08033333333333334,0.43875
-71.551697,42.444418,WPP,0.14500000000000002,0.41
-71.021129,42.618394,WPP,0.0815,0.68875
-70.904624,42.733424,WPP,0.17500000000000002,0.6174999999999999
-71.658249,42.398058,WPP,0.19666666666666668,0.44875
-71.435293,42.3248507,WPP,0.16999999999999998,1.143333333333333
-72.92619955,42.32285317,WPP,0.0525,0.13325
-72.94065317,42.0385568,WPP,0.0525,0.18
-72.91837725,42.04200482,WPP,0.075,0.154
-72.59477377,42.72088383,WPP,0.1125,0.185
-71.04277391,41.99230816,WPP,0.162,0.646
-71.12591191,42.01901335,WPP,0.378,0.7
-70.97075555,41.99502786,WPP,0.18,0.96
-71.13417172,41.9780221,WPP,0.1408,0.508
-71.16118832,41.98177507,WPP,0.514,0.91
-70.88343597,41.96932455,WPP,0.189,0.61
-71.16067131,41.946818,WPP,0.2014,0.518
-70.96826996,41.94881614,WPP,2.2,2.9
-71.13593516,41.83523239,WPP,0.482,0.83
-72.45189591,42.70281576,WPP,0.241,0.4
-72.66169041,42.5098257,WPP,0.6275,0.7175
-72.60513286,42.48176265,WPP,0.5775,0.9425
-72.49492563,42.37683842,WPP,0.206,0.312
-72.51258326,42.41550849,WPP,0.206,0.3
-72.5850062,42.38339502,WPP,0.243,0.49
-72.4252915,42.28071001,WPP,0.212,0.494
-72.57541581,42.27820079,WPP,0.16275,0.4125
-72.58708557,42.28230014,WPP,1.155,1.2575
-72.65403879,42.27748219,WPP,0.35,0.575
-72.59514866,42.21396566,WPP,1.35,1.5750000000000002
-72.58070026,42.07465812,WPP,0.7925,1.0725
-72.5674643,42.41118008,WPP,1.0725,1.25
-72.59779736,42.19157879,WPP,1.525,1.7
-71.8181233,42.44662969,WPP,0.046,0.23
-71.72624143,42.61760369,WPP,0.1125,0.4225
-71.75177322,42.70288914,WPP,0.18,0.37
-71.02018566,42.62248944,WPP,0.2075,0.7725
-70.90371136,42.66074776,WPP,0.1005,0.7475
-72.94213827,42.03883587,WPP,0.08750000000000001,0.2275
