Long,Lat,dataset,NO3
-71.44602039,42.13445842,WPP,0.35
-71.5155242,42.13103033,WPP,1.038
-71.33022096,42.19598069,WPP,1.104
-71.33009248,42.25505525,WPP,0.33
-71.43283604,42.09047755,WPP,0.266
-71.40927393,42.22237155,WPP,0.46
-71.26662505,42.34154459,WPP,1.9
-71.50839357,42.17383927,WPP,0.17
-71.30844976,41.95661339,WPP,3.425
-71.56822441,42.02194765,WPP,1.5
-71.31726139,42.17245221,WPP,0.5
-72.15953425,42.34007232,WPP,0.17
-72.22875627,42.21273236,WPP,0.08
-71.75182267,42.19289465,WPP,1.266
-71.63971462,42.13913312,WPP,1.584
-71.61629976,42.05495698,WPP,1.458
-71.54548172,42.01686344,WPP,1.52
-71.76604587,42.18277682,WPP,0.194
-71.65065318,42.07884462,WPP,0.194
-71.71206258,42.18498134,WPP,0.506
-71.55765871,41.99661131,WPP,0.178
-71.51035869,42.01238549,WPP,0.506
-71.49304478,42.01550267,WPP,0.64
-72.54970791,42.62272904,WPP,0.426
-71.62256481,42.0977551,WPP,1.688
-71.83355874,42.57574839,WPP,0.166
-71.67387723,42.45138358,WPP,1.1925
-72.54988746,42.62058327,WPP,0.5599999999999999
-72.56911519,42.0941279,WPP,0.421
-72.58037808,42.24704007,WPP,0.236
-72.58362237,42.03629979,WPP,1.2
-72.66514075,42.31899322,WPP,0.35000000000000003
-72.431373,42.34968275,WPP,0.088
-71.98179294,42.40886407,WPP,0.042
-72.26845965,42.16171173,WPP,0.076
-72.45647808,42.04351371,WPP,0.54
-72.70605094,42.2636059,WPP,0.214
-72.23011415,42.36091839,WPP,0.048
-71.570541360000007,42.02271855,WPP,1.1875757575757575
-71.28535834,41.92703603,WPP,1.478
-72.58673039,42.27962685,WPP,0.6155555555555555
-72.21647477,42.48792791,WPP,0.02
-72.25884802,42.46843526,WPP,0.02
-72.24561712,42.46258282,WPP,0.02
-72.17095628,42.49092717,WPP,0.12333333333333334
-72.20732375,42.43816198,WPP,0.02666666666666666
-71.9749944,42.27317372,WPP,0.068
-72.33717325,42.29088748,WPP,0.02
-71.62936149,42.54690674,WPP,1.1
-72.56556396,42.07983422,WPP,0.622
