dataset,Lat,Long,NO3,TN
PSW,41.87382121,-69.98711408,0,NA
PSW,41.87382868,-69.9870834,0,NA
PSW,41.8746393,-69.98646099,0,NA
PSW,41.8762473,-69.98676318,0,NA
PSW,41.87625517,-69.98676262,0,NA
PSW,41.87821084,-69.99007111,0,NA
PSW,41.87850157,-69.98920308,0,NA
PSW,41.87895549,-69.98892762,0,NA
PSW,41.8793754,-69.98430617,0,NA
PSW,41.87992844,-69.98709112,0,NA
PSW,41.88172635,-69.98813442,0,NA
PSW,41.88238909,-69.98446646,0,NA
PSW,41.88239314,-69.9844754,0,NA
PSW,41.88275168,-69.99140162,0,NA
PSW,41.89235291,-69.98722059,0,NA
PSW,41.89251719,-69.9875564,0,NA
PSW,41.89252454,-69.98687944,0,NA
PSW,41.89487448,-69.98685453,0,NA
PSW,41.89531352,-69.98431387,0,NA
PSW,41.89956266,-69.98448173,0,NA
PSW,41.90012373,-69.98443599,0,NA
PSW,41.90014789,-69.97819272,0,NA
PSW,41.90023093,-69.97818846,0,NA
PSW,41.90287762,-69.98520671,0,NA
PSW,41.90290443,-69.98519138,0,NA
PSW,41.90334078,-69.9849501,0,NA
PSW,41.90386574,-69.98489769,0,NA
PSW,41.90449812,-69.98517873,0,NA
PSW,41.90452099,-69.9851635,0,NA
PSW,41.90515211,-69.98547659,0,NA
PSW,41.91041505,-69.98519363,0,NA
PSW,41.914851,-70.02743887,0,NA
PSW,41.914851,-70.02743887,0,NA
PSW,41.91570215,-69.993124,0,NA
PSW,41.91542315,-69.99305517,0,NA
PSW,41.91614553,-69.99579608,0,NA
PSW,41.91621427,-69.99631514,0,NA
PSW,41.91628059,-69.98812473,0,NA
PSW,41.91710648,-69.98925011,0,NA
PSW,41.91736258,-69.99432283,0,NA
PSW,41.91804529,-69.99975589,0,NA
PSW,41.91845708,-70.01420588,0,NA
PSW,41.91908806,-70.00743636,0,NA
PSW,41.91948113,-70.0066363,0,NA
PSW,41.92150514,-69.97918684,0,NA
PSW,41.92235875,-70.00900744,0,NA
PSW,41.92236145,-70.00878356,0,NA
PSW,41.92252747,-70.00843792,0,NA
PSW,41.92214559,-69.97513382,0,NA
PSW,41.92447574,-70.00056302,0,NA
PSW,41.92516174,-70.00980358,0,NA
PSW,41.92516401,-70.00980504,0,NA
PSW,41.92524488,-70.01272719,0,NA
PSW,41.92633568,-70.00514768,0,NA
PSW,41.92888698,-70.01716035,0,NA
PSW,41.92891352,-70.01721061,0,NA
PSW,41.93009048,-70.05351668,0,NA
PSW,41.93069343,-70.03226919,0,NA
PSW,41.9309189,-70.04064194,0,NA
PSW,41.9309189,-70.04064194,0,NA
PSW,41.93145984,-70.03239209,0,NA
PSW,41.93251343,-70.03033733,0,NA
PSW,41.93292532,-70.04483669,0,NA
PSW,41.93261025,-70.01433016,0,NA
PSW,41.93305207,-70.03704836,0,NA
PSW,41.93325802,-70.03038233,0,NA
PSW,41.93468301,-70.03025033,0,NA
PSW,41.93425427,-69.98045428,0,NA
PSW,41.93564226,-70.02028673,0,NA
PSW,41.93565004,-70.02027901,0,NA
PSW,41.93710915,-70.03006997,0,NA
PSW,41.93782681,-70.03108304,0,NA
PSW,41.93804914,-70.02288067,0,NA
PSW,41.93838964,-70.03099845,0,NA
PSW,41.93849197,-70.03182223,0,NA
PSW,41.9386521,-70.03153888,0,NA
PSW,41.93867882,-70.02972242,0,NA
PSW,41.93889042,-70.03182133,0,NA
PSW,41.93899599,-70.03535488,0,NA
PSW,41.93894214,-70.02818768,0,NA
PSW,41.93941897,-70.02344515,0,NA
PSW,41.93977956,-70.03352437,0,NA
PSW,41.94054904,-70.03300952,0,NA
PSW,41.94143182,-70.0398428,0,NA
PSW,41.94232921,-70.02440512,0,NA
PSW,41.94273772,-70.0217437,0,NA
PSW,41.94406035,-69.98518737,0,NA
PSW,41.94601061,-70.03026703,0,NA
PSW,41.94607719,-70.03014902,0,NA
PSW,41.94773102,-70.03289041,0,NA
PSW,41.95500609,-70.01246281,0,NA
PSW,41.95770886,-70.02284825,0,NA
PSW,41.95791054,-70.02471095,0,NA
PSW,41.96271436,-69.99716669,0,NA
PSW,41.99314276,-70.05026958,0,NA
PSW,41.99564726,-70.05049882,0,NA
PSW,41.99679035,-70.06222614,0,NA
PSW,41.99870779,-70.05682259,0,NA
PSW,42.00140363,-70.02529163,0,NA
PSW,42.00334245,-70.07771657,0,NA
PSW,42.00342869,-70.07935652,0,NA
PSW,42.00343701,-70.07934728,0,NA
PSW,42.00363939,-70.05503071,0,NA
PSW,42.01268256,-70.07099889,0,NA
PSW,42.01270663,-70.07080855,0,NA
PSW,42.0159035,-70.07254042,0,NA
PSW,42.02392585,-70.07600404,0,NA
PSW,42.02551271,-70.07662216,0,NA
PSW,42.02659005,-70.07794765,0,NA
PSW,42.02658995,-70.07793973,0,NA
PSW,42.02863562,-70.05182719,0,NA
PSW,42.02863562,-70.05182719,0,NA
PSW,42.03031082,-70.0560838,0,NA
PSW,42.03454747,-70.08127357,0,NA
PSW,42.03455717,-70.06427777,0,NA
PSW,42.03605364,-70.08533164,0,NA
PSW,42.03624321,-70.06512447,0,NA
PSW,42.03698749,-70.08885603,0,NA
PSW,42.03699877,-70.08853908,0,NA
PSW,42.03802582,-70.06411451,0,NA
PSW,42.04064583,-70.0768813,0,NA
PSW,42.0408286,-70.07596595,0,NA
PSW,42.04206489,-70.10422519,0,NA
PSW,42.04560394,-70.0944555,0,NA
PSW,42.04558571,-70.08666998,0,NA
PSW,42.04602061,-70.08483878,0,NA
PSW,42.04603181,-70.08406084,0,NA
PSW,42.04606233,-70.08443466,0,NA
PSW,42.04631023,-70.08568591,0,NA
PSW,42.04710381,-70.08400714,0,NA
PSW,42.04772546,-70.08348854,0,NA
PSW,42.04808428,-70.08884414,0,NA
PSW,42.04946886,-70.10949692,0,NA
PSW,42.05427535,-70.10425572,0,NA
DWMWPP,42.02769615,-71.95951089,0.1,0.44
DWMWPP,42.0246995,-71.88418202,0.8813636363636363,1.1981818181818182
DWMWPP,42.01272012,-71.34763073,0.454,0.632
DWMWPP,41.97463265,-71.32957594,0.444,0.754
DWMWPP,41.96096078,-71.30757184,0.712,0.95
DWMWPP,41.93742221,-71.29026644,1.492,2
DWMWPP,41.91782609,-71.30583763,1.314,1.9
DWMWPP,41.89609284,-71.32576502,1.12,1.66
DWMWPP,41.89026914,-71.34011441,2.692,3.66
DWMWPP,41.95360395,-71.28005181,0.296,0.65
DWMWPP,41.92726089,-71.2852236,0.61,1.15
DWMWPP,41.93648287,-71.32433494,0.124,0.392
DWMWPP,41.95117817,-71.34184089,0.64,0.84
DWMWPP,41.90125767,-71.3434294,0.6980000000000001,0.972
DWMWPP,41.85773302,-71.32945548,0.21,0.8225
DWMWPP,42.58708857,-72.35718789,0.02926086956521739,0.15816666666666668
DWMWPP,41.9074391,-70.91495236,0.1348,0.42
