dataset,Lat,Long,NO3
DWMWPP,42.04550631,-70.97074029,0.7
DWMWPP,42.03148922,-70.96656207,0.55
DWMWPP,42.02160209,-70.9505329,0.35
DWMWPP,41.99937253,-70.93768479,1.224
DWMWPP,41.93629311,-70.98734776,0.552
DWMWPP,41.88611169,-71.02994049,0.496
DWMWPP,41.88590512,-71.13411655,0.384
DWMWPP,41.95326227,-71.30781311,0.68
DWMWPP,42.45655696,-72.63699267,0.108
DWMWPP,41.98856171,-71.3474734,0.35000000000000003
DWMWPP,41.97762993,-71.33453815,0.43333333333333335
DWMWPP,42.30510355,-71.3252761,0.486
DWMWPP,42.15140376,-71.42713966,0.17
DWMWPP,42.13445842,-71.44602039,0.35
DWMWPP,42.13103033,-71.5155242,1.038
DWMWPP,42.19598069,-71.33022096,1.104
DWMWPP,42.25505525,-71.33009248,0.33
DWMWPP,42.09047755,-71.43283604,0.266
DWMWPP,42.22237155,-71.40927393,0.46
DWMWPP,42.34154459,-71.26662505,1.9
DWMWPP,42.17383927,-71.50839357,0.17
DWMWPP,41.95661339,-71.30844976,3.425
DWMWPP,42.02194765,-71.56822441,1.5
DWMWPP,42.17245221,-71.31726139,0.5
DWMWPP,42.34007232,-72.15953425,0.17
DWMWPP,42.21273236,-72.22875627,0.08
DWMWPP,42.46999426,-72.32259937,0.05799999999999999
DWMWPP,42.19289465,-71.75182267,1.266
DWMWPP,42.13913312,-71.63971462,1.584
DWMWPP,42.05495698,-71.61629976,1.458
DWMWPP,42.01686344,-71.54548172,1.52
DWMWPP,42.18277682,-71.76604587,0.194
DWMWPP,42.07884462,-71.65065318,0.194
DWMWPP,42.18498134,-71.71206258,0.506
DWMWPP,41.99661131,-71.55765871,0.178
DWMWPP,42.01238549,-71.51035869,0.506
DWMWPP,42.01550267,-71.49304478,0.64
DWMWPP,42.62272904,-72.54970791,0.426
DWMWPP,42.0977551,-71.62256481,1.688
DWMWPP,42.57574839,-71.83355874,0.166
DWMWPP,42.45138358,-71.67387723,1.354
DWMWPP,42.62058327,-72.54988746,0.5599999999999999
DWMWPP,42.0941279,-72.56911519,0.3768
DWMWPP,42.24704007,-72.58037808,0.236
DWMWPP,42.03629979,-72.58362237,1.18
DWMWPP,42.31899322,-72.66514075,0.314
DWMWPP,42.34968275,-72.431373,0.088
DWMWPP,42.71283339,-71.54870868,0.616
DWMWPP,42.40886407,-71.98179294,0.042
DWMWPP,42.16171173,-72.26845965,0.076
DWMWPP,42.04351371,-72.45647808,0.54
DWMWPP,42.50677372,-72.5270761,0.05
DWMWPP,42.2636059,-72.70605094,0.214
