,count,mean,std,min,25%,50%,75%,max
OM_6.5,86.0,0.11532045383433612,0.6773314421266057,0.0,0.0,0.0,0.0,5.245007925205149
OM_6.7,86.0,0.006530979344529918,0.04607651039731305,0.0,0.0,0.0,0.0,0.3957096036786082
OM_6.9,86.0,0.026388471460617215,0.18952749706341368,0.0,0.0,0.0,0.0,1.6533736189958748
OM_7,86.0,0.00811639374729334,0.06587039591803999,0.0,0.0,0.0,0.0,0.6048014410144582
OM_71,86.0,2.247112546532913,5.768696463012908,0.0,0.0,0.0,0.0,28.52030878217871
OM_7.75,86.0,0.3944748137786931,1.7850477766074548,0.0,0.0,0.0,0.0,15.516748686972296
OM_8,86.0,0.011996007308604756,0.06066634610944547,0.0,0.0,0.0,0.0,0.4292311505199802
OM_8.3,86.0,0.04694807560298369,0.2491067837473037,0.0,0.0,0.0,0.0,2.0378594309997013
OM_8.34,86.0,0.021376435075615045,0.17050680652978212,0.0,0.0,0.0,0.0,1.5647660003060382
OM_9.5,86.0,0.018354878983327386,0.12382797780615971,0.0,0.0,0.0,0.0,1.1192185877923522
OM_10,86.0,7.125051323770256,18.037318134104652,0.0,0.0,0.0,0.0,72.90963943061044
OM_11,86.0,0.0064542471659243955,0.059854225892417255,0.0,0.0,0.0,0.0,0.555065256269498
OM_12,86.0,0.24930411683851872,1.148025899168706,0.0,0.0,0.0,0.0,8.562536403615367
OM_14,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM_25,86.0,0.0013988615126972093,0.009118934350137397,0.0,0.0,0.0,0.0,0.0604351545842615
NLEACHING_,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
NLEACHING_High,86.0,65.0420465933995,23.32233285832703,0.2716234643853674,48.775414591528154,72.99216701959199,82.61678785713652,99.9544528569853
NLEACHING_Low,86.0,12.425893731479993,14.371860422370286,0.0,2.6573626483963495,6.340050548833781,16.889560958926634,70.94245348646477
NLEACHING_Moderate,86.0,5.683270408078327,8.821498261157547,0.0,0.0,1.013342272506058,7.764814525701974,40.1168554201786
NLEACHING_Not_rated,86.0,8.259292185001154,10.709121594538288,0.0,1.146655602310291,4.485843642468518,10.9463315069333,67.09514796829117
COVERNAME_,86.0,0.5973198589179092,5.539316420368225,0.0,0.0,0.0,0.0,51.36950721598811
COVERNAME_Bare_Land,86.0,0.7742834253658436,1.627876528487882,0.0,0.10491818504893968,0.2624440911495345,0.8093570009887372,13.28349736707314
COVERNAME_Cultivated,86.0,1.5818965656235437,2.7540622108388013,0.0,0.0,0.1097927325626165,2.369242119989222,15.336530555904726
COVERNAME_Deciduous_Forest,86.0,27.36878868785345,15.622711307085188,0.3782360071722875,15.403297399349137,25.726755927754375,34.42020495895167,75.78779608726249
COVERNAME_Developed_Open_Space,86.0,10.065526667869355,6.318496173999046,0.1013714802960243,5.291169718661077,9.325773978501507,12.808838579299582,36.200068714770914
COVERNAME_Estaurine_Aquatic_bed,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVERNAME_Estuarine_Emergent_Wetland,86.0,0.20146615438642448,0.6857743136231046,0.0,0.0,0.0,0.0211236201292576,5.4595990750984935
COVERNAME_Estuarine_Forested_Wetland,86.0,0.0016726503809381512,0.015511521509165987,0.0,0.0,0.0,0.0,0.143847932760681
COVERNAME_Estuarine_Scrub/Shrub_Wetland,86.0,0.0008973385612106896,0.006859826415183077,0.0,0.0,0.0,0.0,0.0619460118269053
COVERNAME_Evergreen_Forest,86.0,18.10231806005629,15.023144621901395,0.0,4.294645534349108,17.447500708595093,28.008046700496124,77.1163129251808
COVERNAME_Grassland,86.0,2.549925286277393,2.0046795370009702,0.0,1.114924847089228,2.1671497451129236,3.246899722880418,8.946676455455549
COVERNAME_Impervious,86.0,10.66635696209656,8.66409273076575,0.082427467126809,4.572477828346828,8.0067557705564,13.468232884213268,47.26864069923243
COVERNAME_Palustrine_Aquatic_Bed,86.0,0.4374251324885666,0.8720393838525821,0.0,0.0,0.08225897648428901,0.5377579072011105,6.11547531098504
COVERNAME_Palustrine_Emergent_Wetland,86.0,1.2082252658454848,3.4623877053472585,0.0,0.04291331786920502,0.3673020505092692,0.7162293080513928,27.14331695244428
COVERNAME_Palustrine_Forested_Wetland,86.0,9.594642662288246,9.579077288366383,0.0,3.38263981021694,6.525838392094471,11.677850975886573,60.12397428851218
COVERNAME_Palustrine_Scrub/Shrub_Wetland,86.0,1.288022849747454,2.574509889961149,0.0,0.15210561526264205,0.4391284458181013,1.1877251377563356,19.80690732849712
COVERNAME_Pasture/Hay,86.0,1.4960824625219231,3.1985466827984377,0.0,0.0,0.01829745498437175,0.9386562064680865,16.4557655200436
COVERNAME_Scrub/Shrub,86.0,1.7717252172758136,4.204752177396942,0.0,0.28867558137370236,0.5663484614067492,1.5314728143863483,34.579903035234864
