Region_MEP,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_NaturalCover,beta_LE5_Use_ResComMix,beta_COVERNAME_Impervious,se_Intercept,se_NaturalCover,se_LE5_Use_ResComMix,se_COVERNAME_Impervious,t_Intercept,t_NaturalCover,t_LE5_Use_ResComMix,t_COVERNAME_Impervious,p_Intercept,p_NaturalCover,p_LE5_Use_ResComMix,p_COVERNAME_Impervious,sumW_Intercept,sumW_NaturalCover,sumW_LE5_Use_ResComMix,sumW_COVERNAME_Impervious
Cape Cod > Magansett > Cuffs Pond,-70.615392,41.659698999999996,-0.6082112934851501,-0.5092152298321033,-0.13623572342347212,-0.471975570061678,0.41063034583021596,0.030495033624698464,-0.032843742586962814,0.06295221799329044,0.7578647055680037,0.13513421014421242,0.13325860575022475,0.13905977557204469,0.14888978513301837,0.22566479348312168,-0.24646620307977687,0.4526989759211562,5.090105442028317,0.8221926170051113,0.8061226704084987,0.6523206691020711,3.473092873386627e-06,31.635372783334475,34.17326804668858,34.17326804668858,24.935967489647386
Cape Cod > Namskaket > Cedar Pond,-69.991681,41.79719,-0.24530035937915493,-1.562243063725979,0.5297270641879075,-0.7750274235670624,0.31125942493734204,0.03389197290745088,-0.006672217202697112,0.08742789767439715,0.20083598848505982,0.14210258304339185,0.12904139191499703,0.12834647294514617,0.14266728939174037,0.2385035668007651,-0.05170602318899565,0.6811866011445663,1.407722746687911,0.8122646431894819,0.9589265360563191,0.4982497321977434,0.16412842734258437,28.36020808348231,41.6082329162837,41.6082329162837,25.911090452072404
Cape Cod > Namskaket > Hurley Bog,-70.01135500000001,41.781234000000005,-0.2890016760516045,0.13568012264951895,-0.1843024345792674,-0.10469924147233708,0.31396304544463194,0.03821894196571545,-0.006802985336275517,0.08717049539540478,0.204684286030191,0.14124829088690927,0.12860961956939151,0.12797501045266377,0.14118179614047602,0.2705798542816743,-0.052896395767697266,0.6811524772459228,1.4497923360213518,0.7875986868768257,0.9579818310266347,0.49827117574418167,0.15207664552887779,29.10471628777006,42.36416794435944,42.36416794435944,26.60569920152122
Cape Cod > Namskaket > Stream (Little),-70.010195,41.790525,0.04540839935496681,0.10599367029788605,0.20367522446138364,-0.15826682510641682,0.31333469594426433,0.03726665286588415,-0.006991691124714525,0.08703459205149303,0.20439091936413314,0.1413169187846648,0.1286438738388997,0.12799190342662156,0.14160663764165834,0.2637097750671323,-0.054349196087411025,0.6800007634966568,1.4433710366130796,0.7928642352297314,0.9568289397619858,0.49899521033643546,0.15387024954019837,28.88835329881356,42.23277062945652,42.23277062945652,26.394087897348168
Cape Cod > Nauset > Mary Chase Marsh Creek,-69.967575,41.816839,-1.2979320740112041,-1.4136641193570518,0.1056228060624759,-1.4035548800736801,0.3082423894242343,0.029434606250179327,-0.006539942830749712,0.08773491099020221,0.19702912141991505,0.14313568623692538,0.12954922889128273,0.12878285189700722,0.14441826812472103,0.20564128362411097,-0.050482298402856646,0.6812623707104057,1.3642950021375326,0.8377341813307465,0.959897771668941,0.49820212020317844,0.17732869752820618,27.34756517817136,40.622942627382336,40.622942627382336,24.941894019403115
Cape Cod > Oyster Pond > Mosquito/Quivett Creek,-70.642002,41.546347,0.36651807403514075,0.7079867144802527,-0.5296896142299223,0.8962076882650631,0.4158996665651621,0.0379059596580959,-0.028036720229420213,0.061709707277004,0.7549602240828978,0.13534947768910194,0.13177401335859917,0.13279432191788978,0.1541738857259308,0.28005988870652293,-0.21276365130599265,0.4647013997719024,4.896809991706135,0.780349088708741,0.8321982696891619,0.643747395145098,7.111372018628308e-06,30.843309623502133,34.89624695848833,34.89624695848833,24.045036589926706
Cape Cod > Parkers River > Forest Brook,-70.208777,41.662197,0.5109224247788877,-0.2549239013342729,0.6986316825577177,-0.18770925777882996,0.3552602275473262,0.1627227368316215,-0.011957775873610795,0.08414408624465057,0.366009671336724,0.1440520180188484,0.12470344320080974,0.1251361245413172,0.1481355236949442,1.129610949360877,-0.095889700931154,0.6724204265800803,2.4707758288312296,0.2629228979827194,0.9239125465488398,0.5037749033811141,0.016199653564353537,27.58701632620026,44.94944813349034,44.94944813349034,24.58228586563365
Cape Cod > Parkers River > Plashes Brook,-70.223601,41.655167999999996,-0.043894291236560704,0.16463571842377256,-0.040528884787725525,-0.0033654064488351787,0.3598541648481449,0.18202398704165498,-0.01282882202588974,0.08408948495399966,0.38919955329504485,0.14677226421904008,0.12467507088109119,0.12533507897364815,0.15108247702721955,1.2401797302111925,-0.10289805279617788,0.6709173971293351,2.576073419983214,0.2195081566995416,0.9183707237021851,0.5047255524955747,0.012349833021117073,26.735321560270666,44.570734095851364,44.570734095851364,24.11802370356935
Cape Cod > Phinneys > Back River,-70.602171,41.726801,-0.4562067137548902,-0.8708930923028725,0.6556256134050431,-1.1118323271599333,0.40479556077344014,0.018006373426268756,-0.03695787224799968,0.05319744260460924,0.7088040272196773,0.1368563214818053,0.13495255705335227,0.14631280744072758,0.13947815860322524,0.1315713679229838,-0.27385825844995826,0.36358705389587936,5.081828110708132,0.895742615351905,0.7850894484235721,0.7173836715372355,3.5820649499789755e-06,28.562162874079167,30.957590623384146,30.957590623384146,25.559280392732568
Cape Cod > Pleasant Bay > Kescayo Gansett,-69.977752,41.768813,-0.3669040231633629,-0.09295207276493977,-0.15028640934902937,-0.21661761381433353,0.31140985394059106,0.03368415884250858,-0.0056379187446056155,0.08828950470795024,0.19833268481723831,0.14260115916303398,0.12932817316628134,0.12865541967142505,0.14213406969791953,0.23621237751649646,-0.04359389455967003,0.6862478466389842,1.3953915851333805,0.8140341619498992,0.9653659969608313,0.49507480559726447,0.16779715286534697,28.511674182937483,41.3979525725175,41.3979525725175,26.078213389038062
Cape Cod > Pleasant Bay > Paw Wah Pond,-69.970213,41.756401000000004,1.194943033565057,1.7376927191273452,-0.26486849947098307,1.4598115330360402,0.3113341511997916,0.03329240192110289,-0.005133817763326014,0.08870191567640258,0.1971071051362934,0.14290760168742064,0.12949745928708342,0.12882967203843876,0.1419946473530597,0.23296452762479905,-0.03964415820657016,0.6885208529440073,1.3881305303445732,0.8165441874582098,0.9685021877051978,0.4936525548035159,0.16998674955470636,28.40385697925357,41.16583966108826,41.16583966108826,25.968207080011965
Cape Cod > Pleasant Bay > Ryder Cove,-69.984372,41.706196000000006,-0.2624008745988092,0.07396087673872148,-0.1647813341076541,-0.09761954049115507,0.31562453334815355,0.04102674642567726,-0.004084607501240182,0.08937523967345765,0.20121215248237798,0.1418447582072735,0.12927083050458651,0.1286712368142399,0.13991784758396023,0.2892369583775955,-0.0315972867606452,0.6946015433308292,1.4380735264072513,0.7733497458042241,0.9748930980160382,0.4898588187160239,0.15536231423621777,28.843768533438848,41.189745584534386,41.189745584534386,25.818288983596847
Cape Cod > Pleasant Bay > Stillwater Pond,-69.984928,41.70088,-0.48850768694757063,-0.2057202249327938,-0.14088289350025146,-0.34762479344731917,0.316021265688082,0.04154015784640525,-0.003939309573317897,0.0894798205544472,0.2016239176538681,0.14189663004924555,0.12927340643692747,0.1286771325893797,0.13977154455987584,0.29274943197726855,-0.0304726987699507,0.6953824564927581,1.4425247877796452,0.7706757365959587,0.9757863987547906,0.4893727743839775,0.15410784758044088,28.74447964724585,41.1069930082805,41.1069930082805,25.692210420627774
Cape Cod > Pleasant Bay > Tar Kiln,-69.991744,41.733579999999996,-0.5740102630458417,-0.34547235992357506,0.013202459104525915,-0.5872127221503676,0.31474218851824154,0.03879074758567272,-0.00506227194218252,0.08861855621217603,0.20158668975277155,0.1420315252558208,0.12904893157011157,0.12844124285673444,0.1403656315172247,0.27311364512776,-0.039227538582388144,0.6899540540184798,1.4361541894109189,0.78565916399265,0.9688330241933625,0.4927569340297475,0.15590567023400517,29.050714173457642,41.79031027512927,41.79031027512927,26.451153380215217
Cape Cod > Popponesset > Mashpee River,-70.480654,41.624684,-0.7526156442288972,-0.5645172147543291,-0.23075558759403722,-0.5218600566348599,0.41391756715051675,0.0810597232631915,-0.03142471603831848,0.08432400747994538,0.6805274663084443,0.1331238095012542,0.13112572621695145,0.13993929831692664,0.13404281714720803,0.6089047749375578,-0.23965332314976348,0.6025756059528976,5.076940941647607,0.5447770379811929,0.8113770388251617,0.5489539675953911,3.6479731442850207e-06,33.676803925175335,37.904876316807616,37.904876316807616,29.724086399005408
